IdCursoProg,IdCurso,IdCiclo,IdProfesor,Vacantes,Matriculados,PreCursoProg,Horario,Activo
99,C002,1984-06,P004,6,14,500.00,Vi y Sa 19-22,1
100,C008,1984-06,P016,6,14,700.00,Vi y Sa 19-22,1
101,C009,1984-06,P012,7,13,500.00,Vi y Sa 19-22,1
102,C009,1984-06,P025,11,9,500.00,Ju 19-22 y Sa 08-11,1
103,C007,1984-06,P042,2,18,700.00,Ma y Ju 19-22,1
104,C013,1984-06,P024,5,15,700.00,Vi y Sa 19-22,1
105,C010,1984-06,P008,9,11,700.00,Ju 19-22 y Sa 08-11,1
106,C012,1984-06,P020,0,20,500.00,Ma y Ju 19-22,1
107,C006,1984-06,P038,4,16,700.00,Ma y Ju 19-22,1
108,C004,1984-06,P041,10,10,700.00,Ma y Ju 19-22,1
109,C001,1984-06,P031,6,14,400.00,Vi y Sa 19-22,1
110,C002,1984-06,P010,6,14,500.00,Ma y Ju 19-22,1
111,C001,1984-06,P036,1,19,400.00,Lu y Mi 19-22,1
112,C009,1984-06,P039,2,18,500.00,Ju 19-22 y Sa 08-11,1
113,C014,1984-06,P010,2,18,700.00,Vi y Sa 19-22,1
114,C007,1984-06,P003,6,14,700.00,Ju 19-22 y Sa 08-11,1
115,C010,1984-06,P005,9,11,700.00,Lu y Mi 19-22,1
116,C010,1984-06,P019,6,14,700.00,Vi y Sa 19-22,1
117,C012,1984-06,P008,13,7,500.00,Lu y Mi 19-22,1
118,C010,1984-06,P007,5,15,700.00,Ju 19-22 y Sa 08-11,1
119,C005,1984-06,P023,3,17,500.00,Lu y Mi 19-22,1
120,C001,1984-06,P007,13,7,400.00,Ju 19-22 y Sa 08-11,1
121,C002,1984-06,P021,13,7,500.00,Ju 19-22 y Sa 08-11,1
122,C002,1984-06,P004,8,12,500.00,Ma y Ju 19-22,1
123,C003,1984-07,P005,13,7,700.00,Vi y Sa 19-22,1
124,C004,1984-07,P030,0,20,700.00,Ju 19-22 y Sa 08-11,1
125,C014,1984-07,P002,6,14,700.00,Vi y Sa 19-22,1
126,C012,1984-07,P040,10,10,500.00,Lu y Mi 19-22,1
127,C010,1984-07,P006,4,16,700.00,Ju 19-22 y Sa 08-11,1
128,C009,1984-07,P035,3,17,500.00,Lu y Mi 19-22,1
129,C011,1984-07,P033,5,15,700.00,Ju 19-22 y Sa 08-11,1
130,C009,1984-07,P042,2,18,500.00,Ju 19-22 y Sa 08-11,1
131,C005,1984-07,P034,9,11,500.00,Ju 19-22 y Sa 08-11,1
132,C004,1984-07,P026,5,15,700.00,Lu y Mi 19-22,1
133,C014,1984-07,P022,5,15,700.00,Vi y Sa 19-22,1
134,C013,1984-07,P036,7,13,700.00,Ma y Ju 19-22,1
135,C011,1984-07,P014,9,11,700.00,Ma y Ju 19-22,1
136,C006,1984-07,P031,0,20,700.00,Lu y Mi 19-22,1
137,C001,1984-07,P037,12,8,400.00,Ju 19-22 y Sa 08-11,1
138,C012,1984-07,P037,2,18,500.00,Lu y Mi 19-22,1
139,C007,1984-08,P003,6,14,700.00,Ju 19-22 y Sa 08-11,1
140,C004,1984-08,P022,4,16,700.00,Ma y Ju 19-22,1
141,C004,1984-08,P008,8,12,700.00,Ma y Ju 19-22,1
142,C002,1984-08,P030,9,11,500.00,Lu y Mi 19-22,1
143,C002,1984-08,P002,5,15,500.00,Ju 19-22 y Sa 08-11,1
144,C002,1984-08,P028,7,13,500.00,Lu y Mi 19-22,1
145,C009,1984-08,P034,7,13,500.00,Ma y Ju 19-22,1
146,C012,1984-08,P029,4,16,500.00,Vi y Sa 19-22,1
147,C008,1984-08,P014,1,19,700.00,Ju 19-22 y Sa 08-11,1
148,C008,1984-08,P042,9,11,700.00,Lu y Mi 19-22,1
149,C013,1984-08,P036,11,9,700.00,Ma y Ju 19-22,1
150,C013,1984-08,P014,12,8,700.00,Vi y Sa 19-22,1
151,C007,1984-08,P028,11,9,700.00,Vi y Sa 19-22,1
152,C013,1984-09,P035,10,10,700.00,Lu y Mi 19-22,1
153,C011,1984-09,P013,4,16,700.00,Vi y Sa 19-22,1
154,C008,1984-09,P031,6,14,700.00,Ju 19-22 y Sa 08-11,1
155,C009,1984-09,P015,1,19,500.00,Lu y Mi 19-22,1
156,C011,1984-09,P040,13,7,700.00,Lu y Mi 19-22,1
157,C009,1984-09,P018,4,16,500.00,Ma y Ju 19-22,1
158,C011,1984-09,P040,13,7,700.00,Lu y Mi 19-22,1
159,C006,1984-09,P020,2,18,700.00,Lu y Mi 19-22,1
160,C012,1984-09,P008,10,10,500.00,Ju 19-22 y Sa 08-11,1
161,C006,1984-09,P013,9,11,700.00,Lu y Mi 19-22,1
162,C013,1984-09,P013,5,15,700.00,Lu y Mi 19-22,1
163,C001,1984-10,P018,0,20,400.00,Ju 19-22 y Sa 08-11,1
164,C014,1984-10,P023,12,8,700.00,Ju 19-22 y Sa 08-11,1
165,C011,1984-10,P040,4,16,700.00,Vi y Sa 19-22,1
166,C004,1984-10,P012,13,7,700.00,Ju 19-22 y Sa 08-11,1
167,C007,1984-10,P038,0,20,700.00,Ju 19-22 y Sa 08-11,1
168,C002,1984-10,P005,6,14,500.00,Ju 19-22 y Sa 08-11,1
169,C009,1984-10,P009,2,18,500.00,Ju 19-22 y Sa 08-11,1
170,C014,1984-10,P019,3,17,700.00,Vi y Sa 19-22,1
171,C002,1984-10,P027,6,14,500.00,Ma y Ju 19-22,1
172,C007,1984-10,P011,6,14,700.00,Vi y Sa 19-22,1
173,C014,1984-10,P030,13,7,700.00,Lu y Mi 19-22,1
174,C012,1984-10,P017,6,14,500.00,Ma y Ju 19-22,1
175,C005,1984-10,P006,11,9,500.00,Lu y Mi 19-22,1
176,C003,1984-10,P026,3,17,700.00,Lu y Mi 19-22,1
177,C002,1984-10,P022,13,7,500.00,Lu y Mi 19-22,1
178,C009,1984-10,P020,8,12,500.00,Vi y Sa 19-22,1
179,C011,1984-10,P007,3,17,700.00,Lu y Mi 19-22,1
180,C012,1984-11,P024,5,15,500.00,Vi y Sa 19-22,1
181,C009,1984-11,P008,11,9,500.00,Lu y Mi 19-22,1
182,C007,1984-11,P028,4,16,700.00,Ju 19-22 y Sa 08-11,1
183,C001,1984-11,P012,13,7,400.00,Vi y Sa 19-22,1
184,C012,1984-11,P031,1,19,500.00,Lu y Mi 19-22,1
185,C010,1984-11,P025,12,8,700.00,Vi y Sa 19-22,1
186,C001,1984-11,P038,1,19,400.00,Lu y Mi 19-22,1
187,C002,1984-11,P021,7,13,500.00,Vi y Sa 19-22,1
188,C006,1984-11,P041,2,18,700.00,Ma y Ju 19-22,1
189,C006,1984-11,P013,4,16,700.00,Ma y Ju 19-22,1
190,C004,1984-11,P041,0,20,700.00,Ma y Ju 19-22,1
191,C007,1984-11,P030,11,9,700.00,Ju 19-22 y Sa 08-11,1
192,C011,1984-12,P025,2,18,700.00,Vi y Sa 19-22,1
193,C007,1984-12,P036,11,9,700.00,Ma y Ju 19-22,1
194,C010,1984-12,P021,5,15,700.00,Lu y Mi 19-22,1
195,C014,1984-12,P022,1,19,700.00,Lu y Mi 19-22,1
196,C008,1984-12,P035,12,8,700.00,Ma y Ju 19-22,1
197,C007,1984-12,P020,9,11,700.00,Ju 19-22 y Sa 08-11,1
198,C003,1984-12,P042,11,9,700.00,Ju 19-22 y Sa 08-11,1
199,C010,1984-12,P026,3,17,700.00,Lu y Mi 19-22,1
200,C002,1984-12,P038,0,20,500.00,Ma y Ju 19-22,1
201,C010,1984-12,P033,6,14,700.00,Vi y Sa 19-22,1
202,C008,1984-12,P042,8,12,700.00,Lu y Mi 19-22,1
203,C001,1984-12,P024,0,20,400.00,Vi y Sa 19-22,1
204,C014,1984-12,P028,11,9,700.00,Vi y Sa 19-22,1
205,C006,1984-12,P037,8,12,700.00,Ma y Ju 19-22,1
206,C011,1984-12,P037,13,7,700.00,Ma y Ju 19-22,1
207,C012,1984-12,P023,10,10,500.00,Vi y Sa 19-22,1
208,C007,1985-01,P024,4,16,700.00,Ma y Ju 19-22,1
209,C004,1985-01,P014,7,13,700.00,Lu y Mi 19-22,1
210,C002,1985-01,P039,3,17,500.00,Ju 19-22 y Sa 08-11,1
211,C008,1985-01,P018,11,9,700.00,Vi y Sa 19-22,1
212,C007,1985-01,P034,12,8,700.00,Ju 19-22 y Sa 08-11,1
213,C002,1985-01,P004,5,15,500.00,Ma y Ju 19-22,1
214,C003,1985-01,P005,0,20,700.00,Ju 19-22 y Sa 08-11,1
215,C010,1985-01,P015,12,8,700.00,Lu y Mi 19-22,1
216,C005,1985-01,P011,0,20,500.00,Ju 19-22 y Sa 08-11,1
217,C012,1985-01,P005,12,8,500.00,Vi y Sa 19-22,1
218,C003,1985-01,P005,9,11,700.00,Ju 19-22 y Sa 08-11,1
219,C014,1985-01,P028,10,10,700.00,Vi y Sa 19-22,1
220,C004,1985-01,P030,6,14,700.00,Ju 19-22 y Sa 08-11,1
221,C006,1985-02,P013,0,20,700.00,Ju 19-22 y Sa 08-11,1
222,C009,1985-02,P009,7,13,500.00,Ma y Ju 19-22,1
223,C005,1985-02,P031,11,9,500.00,Lu y Mi 19-22,1
224,C011,1985-02,P023,0,20,700.00,Ju 19-22 y Sa 08-11,1
225,C005,1985-02,P030,5,15,500.00,Lu y Mi 19-22,1
226,C001,1985-02,P021,2,18,400.00,Lu y Mi 19-22,1
227,C001,1985-02,P008,11,9,400.00,Lu y Mi 19-22,1
228,C001,1985-02,P010,8,12,400.00,Ju 19-22 y Sa 08-11,1
229,C006,1985-02,P019,12,8,700.00,Vi y Sa 19-22,1
230,C007,1985-02,P018,3,17,700.00,Ma y Ju 19-22,1
231,C005,1985-02,P038,5,15,500.00,Ma y Ju 19-22,1
232,C012,1985-02,P003,11,9,500.00,Vi y Sa 19-22,1
233,C004,1985-02,P030,0,20,700.00,Vi y Sa 19-22,1
234,C003,1985-02,P005,11,9,700.00,Ju 19-22 y Sa 08-11,1
235,C009,1985-02,P025,8,12,500.00,Ju 19-22 y Sa 08-11,1
236,C001,1985-03,P005,9,11,400.00,Ma y Ju 19-22,1
237,C001,1985-03,P009,5,15,400.00,Vi y Sa 19-22,1
238,C003,1985-03,P012,3,17,700.00,Vi y Sa 19-22,1
239,C001,1985-03,P024,9,11,400.00,Ju 19-22 y Sa 08-11,1
240,C006,1985-03,P017,5,15,700.00,Vi y Sa 19-22,1
241,C001,1985-03,P042,12,8,400.00,Ma y Ju 19-22,1
242,C009,1985-03,P021,1,19,500.00,Ma y Ju 19-22,1
243,C005,1985-03,P034,6,14,500.00,Ma y Ju 19-22,1
244,C005,1985-03,P022,8,12,500.00,Ju 19-22 y Sa 08-11,1
245,C003,1985-03,P012,0,20,700.00,Lu y Mi 19-22,1
246,C007,1985-03,P027,9,11,700.00,Ma y Ju 19-22,1
247,C001,1985-03,P014,10,10,400.00,Ma y Ju 19-22,1
248,C014,1985-03,P024,7,13,700.00,Lu y Mi 19-22,1
249,C005,1985-03,P040,13,7,500.00,Ma y Ju 19-22,1
250,C013,1985-03,P022,7,13,700.00,Ju 19-22 y Sa 08-11,1
251,C013,1985-03,P007,10,10,700.00,Lu y Mi 19-22,1
252,C008,1985-03,P031,8,12,700.00,Ma y Ju 19-22,1
253,C013,1985-03,P032,0,20,700.00,Ma y Ju 19-22,1
254,C008,1985-03,P001,1,19,700.00,Vi y Sa 19-22,1
255,C009,1985-04,P035,10,10,500.00,Vi y Sa 19-22,1
256,C009,1985-04,P029,8,12,500.00,Lu y Mi 19-22,1
257,C001,1985-04,P012,6,14,400.00,Lu y Mi 19-22,1
258,C006,1985-04,P006,9,11,700.00,Ju 19-22 y Sa 08-11,1
259,C006,1985-04,P028,12,8,700.00,Vi y Sa 19-22,1
260,C002,1985-04,P013,10,10,500.00,Lu y Mi 19-22,1
261,C005,1985-04,P031,10,10,500.00,Lu y Mi 19-22,1
262,C012,1985-04,P018,13,7,500.00,Ju 19-22 y Sa 08-11,1
263,C011,1985-04,P024,9,11,700.00,Ju 19-22 y Sa 08-11,1
264,C010,1985-04,P002,5,15,700.00,Ju 19-22 y Sa 08-11,1
265,C012,1985-04,P012,10,10,500.00,Ma y Ju 19-22,1
266,C004,1985-04,P033,10,10,700.00,Ju 19-22 y Sa 08-11,1
267,C007,1985-04,P031,4,16,700.00,Ju 19-22 y Sa 08-11,1
268,C010,1985-05,P016,10,10,700.00,Ju 19-22 y Sa 08-11,1
269,C012,1985-05,P024,10,10,500.00,Ma y Ju 19-22,1
270,C012,1985-05,P036,9,11,500.00,Lu y Mi 19-22,1
271,C003,1985-05,P011,3,17,700.00,Vi y Sa 19-22,1
272,C001,1985-05,P040,12,8,400.00,Lu y Mi 19-22,1
273,C013,1985-05,P023,10,10,700.00,Ju 19-22 y Sa 08-11,1
274,C010,1985-05,P039,1,19,700.00,Lu y Mi 19-22,1
275,C002,1985-05,P001,0,20,500.00,Lu y Mi 19-22,1
276,C004,1985-05,P020,12,8,700.00,Ma y Ju 19-22,1
277,C009,1985-05,P022,7,13,500.00,Ju 19-22 y Sa 08-11,1
278,C008,1985-05,P011,1,19,700.00,Lu y Mi 19-22,1
279,C004,1985-05,P040,11,9,700.00,Vi y Sa 19-22,1
280,C012,1985-05,P029,3,17,500.00,Vi y Sa 19-22,1
281,C009,1985-05,P027,8,12,500.00,Ma y Ju 19-22,1
282,C005,1985-05,P002,2,18,500.00,Lu y Mi 19-22,1
283,C004,1985-05,P020,11,9,700.00,Vi y Sa 19-22,1
284,C011,1985-05,P024,6,14,700.00,Vi y Sa 19-22,1
285,C003,1985-05,P035,7,13,700.00,Lu y Mi 19-22,1
286,C004,1985-06,P017,6,14,700.00,Vi y Sa 19-22,1
287,C003,1985-06,P006,4,16,700.00,Ma y Ju 19-22,1
288,C006,1985-06,P028,8,12,700.00,Ma y Ju 19-22,1
289,C010,1985-06,P039,5,15,700.00,Ma y Ju 19-22,1
290,C011,1985-06,P036,11,9,700.00,Vi y Sa 19-22,1
291,C010,1985-06,P016,11,9,700.00,Lu y Mi 19-22,1
292,C008,1985-06,P029,8,12,700.00,Ma y Ju 19-22,1
293,C009,1985-06,P022,11,9,500.00,Vi y Sa 19-22,1
294,C007,1985-06,P013,8,12,700.00,Ma y Ju 19-22,1
295,C011,1985-06,P024,6,14,700.00,Lu y Mi 19-22,1
296,C014,1985-06,P015,7,13,700.00,Vi y Sa 19-22,1
297,C014,1985-06,P004,11,9,700.00,Lu y Mi 19-22,1
298,C003,1985-06,P006,2,18,700.00,Ma y Ju 19-22,1
299,C003,1985-06,P018,2,18,700.00,Ma y Ju 19-22,1
300,C008,1985-06,P030,2,18,700.00,Ju 19-22 y Sa 08-11,1
301,C009,1985-06,P034,7,13,500.00,Ju 19-22 y Sa 08-11,1
302,C003,1985-06,P021,9,11,700.00,Lu y Mi 19-22,1
303,C005,1985-06,P026,5,15,500.00,Ju 19-22 y Sa 08-11,1
304,C005,1985-06,P014,13,7,500.00,Vi y Sa 19-22,1
305,C010,1985-06,P021,12,8,700.00,Vi y Sa 19-22,1
306,C002,1985-06,P027,1,19,500.00,Lu y Mi 19-22,1
307,C002,1985-06,P029,5,15,500.00,Lu y Mi 19-22,1
308,C007,1985-07,P034,7,13,700.00,Ma y Ju 19-22,1
309,C003,1985-07,P003,7,13,700.00,Lu y Mi 19-22,1
310,C002,1985-07,P023,8,12,500.00,Vi y Sa 19-22,1
311,C003,1985-07,P007,13,7,700.00,Lu y Mi 19-22,1
312,C003,1985-07,P013,13,7,700.00,Ju 19-22 y Sa 08-11,1
313,C002,1985-07,P014,4,16,500.00,Lu y Mi 19-22,1
314,C010,1985-07,P006,9,11,700.00,Ma y Ju 19-22,1
315,C010,1985-07,P040,6,14,700.00,Lu y Mi 19-22,1
316,C005,1985-07,P030,7,13,500.00,Lu y Mi 19-22,1
317,C002,1985-07,P036,13,7,500.00,Lu y Mi 19-22,1
318,C011,1985-07,P028,8,12,700.00,Vi y Sa 19-22,1
319,C006,1985-07,P008,11,9,700.00,Ju 19-22 y Sa 08-11,1
320,C012,1985-07,P040,3,17,500.00,Ma y Ju 19-22,1
321,C008,1985-07,P009,2,18,700.00,Vi y Sa 19-22,1
322,C011,1985-07,P027,4,16,700.00,Ma y Ju 19-22,1
323,C012,1985-08,P023,9,11,500.00,Lu y Mi 19-22,1
324,C011,1985-08,P040,12,8,700.00,Ju 19-22 y Sa 08-11,1
325,C002,1985-08,P011,11,9,500.00,Ju 19-22 y Sa 08-11,1
326,C007,1985-08,P016,11,9,700.00,Vi y Sa 19-22,1
327,C012,1985-08,P012,4,16,500.00,Ma y Ju 19-22,1
328,C014,1985-08,P022,5,15,700.00,Ju 19-22 y Sa 08-11,1
329,C006,1985-08,P012,4,16,700.00,Ma y Ju 19-22,1
330,C007,1985-08,P028,8,12,700.00,Lu y Mi 19-22,1
331,C005,1985-08,P040,10,10,500.00,Ju 19-22 y Sa 08-11,1
332,C001,1985-08,P041,4,16,400.00,Vi y Sa 19-22,1
333,C005,1985-08,P026,10,10,500.00,Ju 19-22 y Sa 08-11,1
334,C013,1985-08,P018,9,11,700.00,Ju 19-22 y Sa 08-11,1
335,C003,1985-08,P016,9,11,700.00,Lu y Mi 19-22,1
336,C001,1985-08,P004,1,19,400.00,Lu y Mi 19-22,1
337,C011,1985-08,P007,11,9,700.00,Lu y Mi 19-22,1
338,C011,1985-08,P034,10,10,700.00,Lu y Mi 19-22,1
339,C013,1985-08,P025,7,13,700.00,Ma y Ju 19-22,1
340,C012,1985-08,P012,8,12,500.00,Ju 19-22 y Sa 08-11,1
341,C014,1985-08,P030,0,20,700.00,Lu y Mi 19-22,1
342,C003,1985-08,P001,0,20,700.00,Ju 19-22 y Sa 08-11,1
343,C003,1985-08,P019,6,14,700.00,Lu y Mi 19-22,1
344,C008,1985-08,P007,7,13,700.00,Lu y Mi 19-22,1
345,C008,1985-08,P006,5,15,700.00,Vi y Sa 19-22,1
346,C007,1985-08,P008,12,8,700.00,Ma y Ju 19-22,1
347,C008,1985-09,P015,12,8,700.00,Ju 19-22 y Sa 08-11,1
348,C003,1985-09,P001,9,11,700.00,Ma y Ju 19-22,1
349,C011,1985-09,P027,6,14,700.00,Vi y Sa 19-22,1
350,C002,1985-09,P039,5,15,500.00,Ma y Ju 19-22,1
351,C009,1985-09,P003,7,13,500.00,Ma y Ju 19-22,1
352,C009,1985-09,P039,0,20,500.00,Ju 19-22 y Sa 08-11,1
353,C009,1985-09,P009,12,8,500.00,Vi y Sa 19-22,1
354,C013,1985-09,P011,4,16,700.00,Ju 19-22 y Sa 08-11,1
355,C009,1985-09,P024,6,14,500.00,Lu y Mi 19-22,1
356,C008,1985-09,P018,9,11,700.00,Ju 19-22 y Sa 08-11,1
357,C012,1985-09,P026,10,10,500.00,Vi y Sa 19-22,1
358,C002,1985-09,P003,11,9,500.00,Ju 19-22 y Sa 08-11,1
359,C013,1985-09,P036,1,19,700.00,Vi y Sa 19-22,1
360,C009,1985-09,P020,8,12,500.00,Ma y Ju 19-22,1
361,C010,1985-09,P040,4,16,700.00,Ma y Ju 19-22,1
362,C004,1985-09,P026,8,12,700.00,Vi y Sa 19-22,1
363,C001,1985-10,P016,3,17,400.00,Ma y Ju 19-22,1
364,C009,1985-10,P030,9,11,500.00,Ju 19-22 y Sa 08-11,1
365,C012,1985-10,P037,0,20,500.00,Vi y Sa 19-22,1
366,C009,1985-10,P007,6,14,500.00,Ma y Ju 19-22,1
367,C002,1985-10,P032,0,20,500.00,Lu y Mi 19-22,1
368,C010,1985-10,P033,5,15,700.00,Ju 19-22 y Sa 08-11,1
369,C012,1985-10,P036,10,10,500.00,Vi y Sa 19-22,1
370,C014,1985-10,P031,1,19,700.00,Ju 19-22 y Sa 08-11,1
371,C004,1985-10,P008,8,12,700.00,Ma y Ju 19-22,1
372,C009,1985-10,P017,2,18,500.00,Vi y Sa 19-22,1
373,C014,1985-10,P002,12,8,700.00,Lu y Mi 19-22,1
374,C002,1985-10,P005,10,10,500.00,Ma y Ju 19-22,1
375,C010,1985-10,P035,9,11,700.00,Ju 19-22 y Sa 08-11,1
376,C004,1985-10,P018,6,14,700.00,Vi y Sa 19-22,1
377,C004,1985-10,P009,13,7,700.00,Vi y Sa 19-22,1
378,C007,1985-10,P026,2,18,700.00,Ju 19-22 y Sa 08-11,1
379,C007,1985-10,P028,8,12,700.00,Lu y Mi 19-22,1
380,C014,1985-10,P007,10,10,700.00,Ma y Ju 19-22,1
381,C002,1985-10,P040,11,9,500.00,Vi y Sa 19-22,1
